Scenario ID,Scenario Name,Method,Selection Objective,Configuration ID,Selection Count,Selection Share
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment traditional comparison,Maximum common-space Silhouette,Agglomerative|K=3,3,0.15
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment traditional comparison,Maximum common-space Silhouette,K-Means|K=2,7,0.35
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment traditional comparison,Maximum common-space Silhouette,K-Means|K=3,3,0.15
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Maximum common-space Silhouette,Gaussian Mixture|K=2,20,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Minimum AIC,Gaussian Mixture|K=10,16,0.8
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Minimum AIC,Gaussian Mixture|K=8,1,0.05
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Minimum AIC,Gaussian Mixture|K=9,3,0.15
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=3,1,0.05
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=4,4,0.2
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=5,9,0.45
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=6,5,0.25
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=7,1,0.05
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,HDBSCAN balanced frontier leader,HDBSCAN|mcs=10|ms=10,3,0.15
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,HDBSCAN balanced frontier leader,HDBSCAN|mcs=10|ms=5,16,0.8
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,HDBSCAN balanced frontier leader,HDBSCAN|mcs=15|ms=5,1,0.05
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,HDBSCAN coverage leader,HDBSCAN|mcs=10|ms=10,5,0.25
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,HDBSCAN coverage leader,HDBSCAN|mcs=10|ms=5,14,0.7
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,HDBSCAN coverage leader,HDBSCAN|mcs=15|ms=5,1,0.05
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,HDBSCAN separation leader,HDBSCAN|mcs=10|ms=10,7,0.35
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,HDBSCAN separation leader,HDBSCAN|mcs=10|ms=5,11,0.55
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,HDBSCAN separation leader,HDBSCAN|mcs=15|ms=5,2,0.1
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Maximum common-space Silhouette,K-Means|K=2,12,0.6
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Maximum common-space Silhouette,K-Means|K=3,8,0.4
