Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Variable,Bias-Corrected Cramer's V,Adjusted Mutual Information,Chi-Square P-Value,Contingency Rows,Contingency Columns,Expected Cells Below 5 Share,N Evaluated,Benjamini-Hochberg Adjusted P-Value
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=5,,HDBSCAN assigned subset,Sector,,,,2,1,,489,
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=5,,HDBSCAN assigned subset,Industry,0.19009035091060256,0.009427144453668093,0.01287773833044418,2,24,0.5208333333333334,489,0.013646558529276669
industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,42.0,All eligible companies,Sector,,,,4,1,,565,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,42.0,All eligible companies,Industry,0.2754992206611904,0.04986267548982172,5.3292840585200754e-14,4,25,0.75,565,7.207222250570007e-14
industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,Neural full-assignment,DEC|K=4,42.0,All eligible companies,Sector,,,,4,1,,565,
industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,Neural full-assignment,DEC|K=4,42.0,All eligible companies,Industry,0.2760345629233016,0.054654324678178545,4.526757211503695e-14,4,25,0.64,565,6.180764654168507e-14
industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,456.0,All eligible companies,Sector,,,,4,1,,565,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,456.0,All eligible companies,Industry,0.277119158974244,0.04615173436094917,3.247002112978625e-14,4,25,0.65,565,4.47644951498024e-14
industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,Neural full-assignment,DEC|K=4,456.0,All eligible companies,Sector,,,,4,1,,565,
industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,Neural full-assignment,DEC|K=4,456.0,All eligible companies,Industry,0.2660129657402524,0.047516792586003734,8.809663987339439e-13,4,25,0.6,565,1.0692070822241029e-12
industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,Sector,,,,4,1,,565,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,Industry,0.2672754743413578,0.04362431659604211,6.122518685492247e-13,4,25,0.67,565,7.494807356378441e-13
industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,Sector,,,,4,1,,565,
industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,Industry,0.2979337970571112,0.054162086491822234,3.628841599991257e-17,4,25,0.6,565,5.481867097859133e-17
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,K-Means,Traditional full-assignment,K-Means|K=3,,All eligible companies,Sector,,,,3,1,,470,
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,K-Means,Traditional full-assignment,K-Means|K=3,,All eligible companies,Industry,0.39398933959405297,0.059852692282765074,5.984599561174786e-20,3,23,0.6666666666666666,470,9.54846222120022e-20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Agglomerative,Traditional full-assignment,Agglomerative|K=3,,All eligible companies,Sector,,,,3,1,,470,
