Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,K,Sampling Seed,N Companies,Common-Space Silhouette Score,Evaluation Coverage
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,2,10016,469,,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,2,10017,471,,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,2,10018,472,0.6043202531504457,0.7966101694915254
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,2,10019,470,0.3515554214802083,0.04893617021276596
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10000,355,0.4952221485350441,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10001,355,0.4816665076929954,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10002,355,0.4874691242400131,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10003,355,0.5086552022466081,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10004,355,0.47084589344348304,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10005,355,0.4928303727406171,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10006,355,0.4704834813110534,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10007,355,0.49599463384300907,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10008,355,0.4633749431837206,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10009,355,0.4764218248490289,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10010,355,0.4887695864240627,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10011,355,0.47068647784850554,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10012,355,0.5086013119132835,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10013,355,0.47788873073925836,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10014,355,0.48622908700000156,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10015,355,0.4988587534539434,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10016,355,0.4726919119788142,1.0
